wood_ID,treatment,decay_status,moisture_content,wood_density,slope,visible_algae_lichen_num,visible_hyphae_num,termites_num,moist_cont_dry
29,gu,3,31.54,0.32,0.000167676,0,1,1,46.06741573
29,gd,3,22.97,0.37,4.22E-05,0,1,1,29.81927711
29,eu,3,17.7,0.37,4.58E-05,0,0,1,21.51260504
29,ed,3,14.56,0.3,4.41E-05,0,0,1,17.03910615
29,ed,3,14.56,0.3,2.77E-06,0,0,1,17.03910615
30,gu,4,41.97,0.34,0.000182328,1,0,0,72.33294256
30,gd,4,51.67,0.4,0.0002542,0,1,1,106.8936877
30,eu,4,41.62,0.29,0.000170634,0,0,1,71.27937337
30,ed,4,35.23,0.36,0.000232332,0,0,1,54.38346401
31,gu,1,53.53,0.43,0.000570805,0,0,0,115.2
31,gd,1,55.74,0.33,0.000777497,0,0,1,125.9141494
31,eu,1,56.69,0.33,0.001519085,0,0,1,130.880579
31,ed,1,56.86,0.36,0.002607909,0,1,1,131.8265259
31,ed,1,56.86,0.36,0.002586583,0,1,1,131.8265259
32,gu,3,31.16,0.34,0.000185475,0,0,1,45.25547445
32,gu,3,31.16,0.34,9.02E-05,0,0,1,45.25547445
32,gd,3,38.12,0.37,0.000210192,0,0,1,61.60188457
32,eu,3,52.23,0.4,0.000186126,0,1,1,109.3201754
32,ed,3,49.91,0.41,0.000198607,0,0,1,99.62382445
32,ed,3,49.91,0.41,0.000179248,0,0,1,99.62382445
33,gu,2,22.8,0.62,0.000143949,0,0,1,29.52961672
33,gd,2,36.79,0.34,0.000322536,0,0,1,58.19892473
33,eu,2,22.15,0.46,0.000194985,0,1,0,28.45461979
33,ed,2,21.77,0.37,7.70E-05,0,1,1,27.8203724
33,ed,2,21.77,0.37,8.28E-05,0,1,1,27.8203724
34,gu,2,15.63,0.37,-2.42E-05,0,0,1,18.52134146
34,gu,2,15.63,0.37,7.00E-05,0,0,1,18.52134146
34,gd,2,16.98,0.39,6.14E-05,0,0,1,20.4467354
34,gd,2,16.98,0.39,5.03E-05,0,0,1,20.4467354
34,eu,2,15.19,0.37,0.000258501,0,0,1,17.91044776
34,ed,2,13.59,0.29,-1.22E-05,0,0,1,15.72794899
34,ed,2,13.59,0.29,-1.83E-05,0,0,1,15.72794899
34,ed,2,13.59,0.29,0.000180455,0,0,1,15.72794899
35,gu,3,70.56,0.23,0.001146942,0,1,1,239.625712
35,gd,3,70.08,0.24,0.001352087,0,1,1,234.2009132
35,eu,3,43.07,0.23,0.000464881,0,0,1,75.64102564
35,ed,3,40.92,0.31,0.000660938,0,0,1,69.27210552
36,gu,1,35.61,0.37,0.000238532,0,1,0,55.30401035
36,gd,1,34.74,0.35,0.000315709,0,1,0,53.2239819
36,eu,1,18.08,0.41,-5.68E-06,0,0,0,22.06654991
36,eu,1,18.08,0.41,1.11E-05,0,0,0,22.06654991
36,eu,1,18.08,0.41,1.03E-06,0,0,0,22.06654991
36,eu,1,18.08,0.41,-2.99E-05,0,0,0,22.06654991
36,eu,1,18.08,0.41,-0.000287912,0,0,0,22.06654991
36,ed,1,23.32,0.46,6.90E-05,0,0,1,30.40935673
37,gu,3,31.53,0.54,0.000623183,0,0,1,46.05779522
